geo,map
http://www.wikidata.org/entity/Q1008445,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis220.map
http://www.wikidata.org/entity/Q1008577,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis230.map
http://www.wikidata.org/entity/Q1008644,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis231.map
http://www.wikidata.org/entity/Q1007937,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis241.map
http://www.wikidata.org/entity/Q1008148,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis242.map
http://www.wikidata.org/entity/Q1008480,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis256.map
http://www.wikidata.org/entity/Q1008367,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis265.map
http://www.wikidata.org/entity/Q1008596,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis268.map
http://www.wikidata.org/entity/Q1008536,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis273.map
http://www.wikidata.org/entity/Q1008490,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis276.map
http://www.wikidata.org/entity/Q1008493,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis284.map
http://www.wikidata.org/entity/Q1008575,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis285.map
http://www.wikidata.org/entity/Q1008621,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis41.map
http://www.wikidata.org/entity/Q1008257,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis43.map
http://www.wikidata.org/entity/Q1008205,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis45.map
http://www.wikidata.org/entity/Q1008312,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis5.map
http://www.wikidata.org/entity/Q1008432,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis59.map
http://www.wikidata.org/entity/Q1008066,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis64.map
http://www.wikidata.org/entity/Q1007926,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis66.map
http://www.wikidata.org/entity/Q1008081,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis70.map
http://www.wikidata.org/entity/Q1008394,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis74.map
http://www.wikidata.org/entity/Q1007995,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis79.map
http://www.wikidata.org/entity/Q1008334,http://commons.wikimedia.org/data/main/Data:Bundestagswahl2017/wahlkreis93.map
http://www.wikidata.org/entity/Q999009,http://commons.wikimedia.org/data/main/Data:IsraelHighways/1.map
http://www.wikidata.org/entity/Q1160841,http://commons.wikimedia.org/data/main/Data:Czech+Republic/Jind%C5%99ich%C5%AFv+Hradec.map
http://www.wikidata.org/entity/Q1585639,http://commons.wikimedia.org/data/main/Data:Central+station,+Sydney.map
http://www.wikidata.org/entity/Q5061381,http://commons.wikimedia.org/data/main/Data:Central+station,+Sydney.map
http://www.wikidata.org/entity/Q2074286,http://commons.wikimedia.org/data/main/Data:IsraelHighways/431.map
http://www.wikidata.org/entity/Q3609412,http://commons.wikimedia.org/data/main/Data:Rky/948_Hvittr%C3%A4skin_ateljeehuvila.map
http://www.wikidata.org/entity/Q5365093,http://commons.wikimedia.org/data/main/Data:Sandbox/higa4/sinobazunoike.map
http://www.wikidata.org/entity/Q7305835,http://commons.wikimedia.org/data/main/Data:Redfern+station,+Sydney.map
http://www.wikidata.org/entity/Q10476436,http://commons.wikimedia.org/data/main/Data:Rky/4041_Dragsfj%C3%A4rdin_kirkko_ymp%C3%A4rist%C3%B6ineen.map
http://www.wikidata.org/entity/Q18346690,http://commons.wikimedia.org/data/main/Data:Rky/1108_Murtovaaran_talomuseo.map
http://www.wikidata.org/entity/Q18662695,http://commons.wikimedia.org/data/main/Data:Rky/1530_Vanha_Porvoo_ja_Porvoon_linnam%C3%A4ki.map
http://www.wikidata.org/entity/Q18662135,http://commons.wikimedia.org/data/main/Data:Rky/1898_Suomen_Urheiluopisto.map
